Figure 1 – Évolution annuelle moyenne de l'indice des prix à la consommation ;;;;
;;;;
en %;;;;
Année ;Indice des prix à la consommation;;;
2024;2,0;;;
2023;4,9;;;
2022;5,2;;;
2021;1,6;;;
2020;0,5;;;
2019;1,1;;;
2018;(r) 1,9;;;
2017;1,0;;;
2016;0,2;;;
2015;0,0;;;
2014;0,5;;;
2013;0,9;;;
2012;2,0;;;
2011;2,1;;;
2010;1,5;;;
2009;0,1;;;
2008;2,8;;;
2007;1,5;;;
2006;1,7;;;
2005;1,7;;;
2004;2,1;;;
2003;2,1;;;
2002;1,9;;;
2001;1,6;;;
2000;1,7;;;
r : donnée révisée.;;;;
Lecture : en 2024, les prix à la consommation ont en moyenne augmenté de 2,0 %.;;;;
Champ : France hors Mayotte, ensemble des ménages.;;;;
Source : Insee, Indice des prix à la consommation. ;;;;